Time Step,Market Price,Environmental Condition,Agent 0 Performance,Agent 1 Performance,Agent 2 Performance,Agent 3 Performance,Agent 4 Performance,Agent 5 Performance,Agent 6 Performance,Agent 7 Performance,Agent 8 Performance,Agent 9 Performance
0,0.3921175406135136,0.9448162724365424,0.2510176611763983,0.23627084414801847,0.08000000000000002,0.2792458046169206,0.2772185325928732,0.08000000000000002,0.3419830502191008,0.3851416381746761,0.19631464312981906,0.353336873686497
1,0.3822036175262704,0.9463734821778127,0.2647010806986776,0.24915038842473963,0.08436094240003729,0.2944679904842513,0.29233020825362793,0.08436094240003729,0.36062515501653275,0.4061363944238731,0.20701610376698176,0.3725978956109478
2,0.36994370635549245,1.0609916282476535,0.27990823290702366,0.2634641489486591,0.08920750248256773,0.3113852601076321,0.3091246616811565,0.08920750248256773,0.3813431725177065,0.4294690455450952,0.21890923767959666,0.3940037504571363
3,0.3551438900254037,1.1196517434224225,0.2951973892632958,0.2778550960305417,0.0940801975063742,0.3283937556398284,0.32600967873455927,0.0940801975063742,0.40217291135556615,0.45292751734252534,0.2308665049880843,0.4155250357838804
4,0.337615702404246,1.1801634451293277,0.3101433613594156,0.2919230202842116,0.0988435187885741,0.34502047419103854,0.34251569043605756,0.0988435187885741,0.4225351006213197,0.47585943436475997,0.24255537645843114,0.43656324891159126
5,0.32000000000000006,1.11986694919758,0.32125036625222625,0.30237750946111613,0.10238335095520572,0.3573765152107874,0.35478202892179095,0.10238335095520572,0.43766713314142436,0.492901143858759,0.2512418875650779,0.4521976643007477
6,0.32000000000000006,1.1357961987888452,0.3321555099192906,0.3126419963808714,0.10585884940928492,0.369507994738965,0.36682543619014885,0.10585884940928492,0.4525241526708965,0.5096331334597292,0.2597705280489629,0.46754793627908015
7,0.32000000000000006,1.1622315378938652,0.36303883864836406,0.3417109874419873,0.11570144887717516,0.4038643023381287,0.4009323234574981,0.11570144887717516,0.49459918002232167,0.5570180694967348,0.2839236080740707,0.5110198528407393
8,0.32000000000000006,1.0313522813558003,0.3929925134052242,0.36990493995899826,0.12524776513762687,0.4371864119040966,0.43401252077487185,0.12524776513762687,0.5354076594361401,0.5760000000000002,0.3073496289475077,0.5531831721243714
9,0.32000000000000006,1.0945446839351618,0.4274043427151446,0.4022951388064764,0.1362149071781188,0.4754680169471619,0.47201620856490667,0.1362149071781188,0.5760000000000002,0.5760000000000002,0.3342622611454229,0.5760000000000002
10,0.32000000000000006,1.0098781428782746,0.46193444702548697,0.43479666421982366,0.14721974377758879,0.513881197583371,0.5101505167340245,0.14721974377758879,0.5760000000000002,0.5760000000000002,0.3612673932670094,0.5760000000000002
11,0.32000000000000006,0.9731349543319523,0.4978964115863272,0.4686459307781632,0.15868091806861004,0.5538872580427585,0.5498661407183754,0.15868091806861004,0.5760000000000002,0.5760000000000002,0.3893923475268906,0.5760000000000002
12,0.32000000000000006,0.787591733939049,0.5292675394361918,0.49817406367616746,0.1686789804209858,0.5760000000000002,0.5760000000000002,0.1686789804209858,0.5760000000000002,0.5760000000000002,0.41392692306059464,0.5760000000000002
13,0.32000000000000006,0.8675067535480345,0.5659989926277634,0.5327476128506909,0.18038539279672997,0.5760000000000002,0.5760000000000002,0.18038539279672997,0.5760000000000002,0.5760000000000002,0.44265367515902854,0.5760000000000002
14,0.32000000000000006,0.7964676356161059,0.5760000000000002,0.5666929113776761,0.19187908298076947,0.5760000000000002,0.5760000000000002,0.19187908298076947,0.5760000000000002,0.5760000000000002,0.4708584212430838,0.5760000000000002
15,0.32000000000000006,0.5484610057231766,0.5760000000000002,0.5760000000000002,0.2002981385670794,0.5760000000000002,0.5760000000000002,0.2002981385670794,0.5760000000000002,0.5760000000000002,0.49151821990454053,0.5760000000000002
